trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",20,0,-85.62344806302148,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.985}",35,0,-78.99828133763725,"{0: 25, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.970225}",20,0,-95.40301626166597,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.9556716249999999}",25,0,-117.0623000117255,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.8, 'e': 0.941336550625}",20,0,-60.615816957575774,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.9272165023656249}",35,0,-170.89393851123214,"{0: 22, 1: 4, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.8, 'e': 0.9133082548301406}",20,0,-53.065137600499085,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.8996086310076884}",25,0,-45.758619809758,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.8, 'e': 0.8861145015425731}",20,0,-52.42776304719078,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.8728227840194345}",30,0,-212.37373831455173,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.8, 'e': 0.859730442259143}",20,0,-79.58481490393437,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.8468344856252558}",20,0,-127.38925931220591,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.834131968340877}",20,5,-121.37809315906732,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 3}",1
14,False,"{'a': 0.8, 'e': 0.8216199888157638}",30,0,-172.5940476531194,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.8, 'e': 0.8092956889835273}",25,6,-39.44939419228079,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 0}",1
16,False,"{'a': 0.8, 'e': 0.7971562536487744}",20,8,-34.54623070947427,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.8, 'e': 0.7851989098440427}",20,0,-112.24576293430208,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.8, 'e': 0.7734209261963821}",20,0,-144.2490804392734,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.8, 'e': 0.7618196123034364}",30,15,-38.38964722235499,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': 0.7503923181188848}",25,0,-15.248029138764442,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.8, 'e': 0.7391364333471016}",30,0,-107.90483627959507,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
22,False,"{'a': 0.8, 'e': 0.728049386846895}",20,12,-9.449663044148966,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.8, 'e': 0.7171286460441916}",25,0,-28.919800848007476,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.8, 'e': 0.7063717163535287}",25,19,-32.02584334407624,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.8, 'e': 0.6957761406082258}",30,0,-124.43186620451196,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",1
26,False,"{'a': 0.8, 'e': 0.6853394984991024}",20,0,-59.77784279080606,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
27,False,"{'a': 0.8, 'e': 0.6750594060216158}",20,0,-18.69358643530629,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.8, 'e': 0.6649335149312916}",20,0,-99.98404793850574,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
29,False,"{'a': 0.8, 'e': 0.6549595122073222}",20,0,-27.07244497267769,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.8, 'e': 0.6451351195242123}",20,0,-52.590565757610335,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
31,False,"{'a': 0.8, 'e': 0.6354580927313491}",20,0,-40.80307988734523,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
32,False,"{'a': 0.8, 'e': 0.6259262213403789}",20,0,10.429751908805546,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.8, 'e': 0.6165373280202732}",35,0,-168.58568302064333,"{0: 26, 1: 2, 2: 3, 3: 0, 4: 4}",0
34,False,"{'a': 0.8, 'e': 0.6072892680999691}",20,0,-18.762063663023092,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.8, 'e': 0.5981799290784695}",25,2,-40.721247329192714,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 0}",1
36,False,"{'a': 0.8, 'e': 0.5892072301422925}",20,0,-145.32426379796186,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
37,False,"{'a': 0.8, 'e': 0.5803691216901581}",25,0,-56.26320911200488,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.8, 'e': 0.5716635848648057}",25,0,-26.315318546553467,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
39,False,"{'a': 0.8, 'e': 0.5630886310918336}",20,0,-17.464322575247053,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
40,False,"{'a': 0.8, 'e': 0.5546423016254561}",25,9,1.7047155859527827,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.8, 'e': 0.5463226671010742}",30,16,-11.511484243711777,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.8, 'e': 0.5381278270945582}",30,17,-40.73271272944466,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
43,False,"{'a': 0.8, 'e': 0.5300559096881398}",25,0,-16.998014340833308,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.8, 'e': 0.5221050710428177}",20,3,18.891962375168493,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.8, 'e': 0.5142734949771754}",20,5,-33.31525390079803,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.8, 'e': 0.5065593925525178}",20,1,-43.344333655437545,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
47,False,"{'a': 0.8, 'e': 0.49896100166422996}",20,4,-0.5122777925701318,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.8, 'e': 0.4914765866392665}",20,12,0.9898942661321208,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.8, 'e': 0.48410443783967755}",25,5,-15.00124159086923,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
50,False,"{'a': 0.8, 'e': 0.47684287127208236}",20,13,3.480164658535993,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.8, 'e': 0.4696902282030011}",25,8,-53.24471140985142,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
52,False,"{'a': 0.8, 'e': 0.4626448747799561}",25,9,-3.7390711474457117,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.8, 'e': 0.45570520165825673}",30,4,-43.83875218287484,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 1}",1
54,False,"{'a': 0.8, 'e': 0.4488696236333829}",20,1,6.123646731255815,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.4421365792788821}",20,0,-116.42545834022187,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
56,False,"{'a': 0.8, 'e': 0.4355045305896989}",20,8,-3.7841293016279147,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.8, 'e': 0.4289719626308534}",30,20,3.3133722261250727,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.4225373831913906}",20,8,13.725629309812884,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.8, 'e': 0.41619932244351976}",25,0,19.951105126727352,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.8, 'e': 0.4099563326068669}",20,0,-6.26683587790367,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.8, 'e': 0.40380698761776396}",20,0,-56.79837872333446,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
