trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-221.71286463102172,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-120.37625505992065,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-109.26285690502156,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-69.4882591463899,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-124.2711113184805,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-38.543876858011856,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-50.83454374108218,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-224.55078049589034,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-84.13479627847666,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-33.05371869432299,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': -0.05000000000000032}",20,0,-102.09385144153916,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': -0.10000000000000032}",35,16,-153.27746230672733,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': -0.15000000000000033}",25,0,-87.76523584289946,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': -0.20000000000000034}",20,0,-63.977819993538986,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': -0.25000000000000033}",30,0,-229.02680730597604,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': -0.3000000000000003}",20,0,-134.43940902257967,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': -0.3500000000000003}",20,0,-152.5757514182453,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': -0.4000000000000003}",35,0,-204.91868332637603,"{0: 21, 1: 3, 2: 7, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': -0.4500000000000003}",20,0,-75.10499068998568,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -0.5000000000000003}",30,14,-86.57868133634084,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-161.41606589641134,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-125.55334350900743,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-196.14719373501592,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,8,-11.408537240435063,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-49.660653989272184,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-78.75719244554722,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-120.22553089943086,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-132.65613382210665,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-174.84256705119498,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-98.8091773272907,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
