trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",20,0,-31.942844383681436,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.97}",20,0,-11.641451079008371,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.9409}",30,16,-53.656484084483544,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.8, 'e': 0.912673}",30,0,-124.52728389459165,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.8852928099999999}",35,0,-196.57310712545774,"{0: 21, 1: 3, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 0.8, 'e': 0.8587340256999999}",20,0,-47.13308448299924,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.8329720049289998}",20,0,-142.81602471274746,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.8079828447811298}",20,0,-153.2536652342685,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.8, 'e': 0.7837433594376959}",25,0,-98.41057444781322,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.7602310586545651}",25,0,-44.98018109301783,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.7374241268949281}",30,0,-10.873495829095512,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.7153014030880802}",25,0,-81.76104573648281,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.6938423609954377}",30,0,-128.89260927153646,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
14,False,"{'a': 0.8, 'e': 0.6730270901655746}",30,0,-235.98466952580083,"{0: 15, 1: 3, 2: 8, 3: 0, 4: 4}",0
15,False,"{'a': 0.8, 'e': 0.6528362774606074}",25,0,-85.67443424664906,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
